,date,pm25,coverage
1,2025-12-01,3.39,100.0
2,2025-12-02,4.86,100.0
3,2025-12-03,4.73,100.0
4,2025-12-04,8.73,100.0
5,2025-12-05,3.31,100.0
6,2025-12-06,12.5,100.0
7,2025-12-07,14.3,100.0
8,2025-12-08,3.5,100.0
9,2025-12-09,3.55,100.0
10,2025-12-10,9.65,100.0
11,2025-12-11,3.85,100.0
12,2025-12-12,2.7,100.0
13,2025-12-13,8.59,100.0
14,2025-12-14,7.55,100.0
15,2025-12-15,3.52,100.0
16,2025-12-16,15.0,100.0
17,2025-12-17,15.7,100.0
18,2025-12-18,13.1,96.0
19,2025-12-19,4.69,100.0
20,2025-12-20,4.79,100.0
21,2025-12-21,5.55,100.0
22,2025-12-22,5.08,100.0
23,2025-12-23,10.3,100.0
24,2025-12-24,8.09,100.0
25,2025-12-25,4.65,100.0
26,2025-12-26,2.98,100.0
27,2025-12-27,4.41,100.0
28,2025-12-28,11.6,100.0
29,2025-12-29,6.94,100.0
30,2025-12-30,1.5,100.0
31,2025-12-31,6.41,100.0
32,2026-01-01,3.62,100.0
33,2026-01-02,5.15,100.0
34,2026-01-03,4.89,100.0
35,2026-01-04,5.23,100.0
36,2026-01-05,6.4,100.0
37,2026-01-06,17.3,100.0
38,2026-01-07,11.1,100.0
39,2026-01-08,5.33,92.0
40,2026-01-09,9.97,100.0
41,2026-01-10,5.08,100.0
42,2026-01-11,3.37,100.0
43,2026-01-12,4.24,100.0
44,2026-01-13,8.19,92.0
45,2026-01-14,12.5,100.0
46,2026-01-15,6.95,100.0
47,2026-01-16,4.07,96.0
48,2026-01-17,11.4,100.0
49,2026-01-18,21.0,100.0
50,2026-01-19,7.73,100.0
51,2026-01-20,5.4,100.0
52,2026-01-21,5.67,100.0
53,2026-01-22,8.68,50.0
55,2026-01-28,11.0,100.0
56,2026-01-29,8.28,100.0
57,2026-01-30,3.0,100.0
58,2026-01-31,4.86,100.0
59,2026-02-01,3.56,100.0
60,2026-02-02,3.38,100.0
61,2026-02-03,8.85,92.0
62,2026-02-04,8.42,92.0
63,2026-02-05,6.55,100.0
64,2026-02-06,9.31,100.0
65,2026-02-07,10.3,100.0
66,2026-02-08,4.05,100.0
67,2026-02-09,5.18,100.0
68,2026-02-10,11.4,100.0
69,2026-02-11,11.4,100.0
70,2026-02-12,2.76,96.0
71,2026-02-13,4.53,100.0
72,2026-02-14,12.5,100.0
73,2026-02-15,17.1,100.0
74,2026-02-16,6.0,100.0
75,2026-02-17,24.2,100.0
76,2026-02-18,29.4,100.0
77,2026-02-19,8.56,100.0
78,2026-02-20,5.18,100.0
